epoch,train_loss,train_acc,val_acc,grad_norm_epoch_avg
1,1.1835741644625164,0.60528,0.7502,1.324737311004197
2,0.5776391427992554,0.79634,0.8276,1.958608610625179
3,0.4771347654330761,0.83034,0.8326,1.777622365522557
4,0.4316178065203035,0.84674,0.851,1.6078842760159477
5,0.39957751577620004,0.85584,0.8586,1.5064914812572787
6,0.3647387121301478,0.8662,0.8657,1.4166071332236092
7,0.34191419594847333,0.87756,0.8718,1.3880486579225535
8,0.32385278286417124,0.88132,0.8634,1.3809909283669397
9,0.30682975646403743,0.887,0.8787,1.3515498855874184
10,0.2956529799229501,0.89058,0.8795,1.382750033221371
11,0.28345304957169404,0.89584,0.8796,1.3610558809418183
12,0.27545987314466014,0.898,0.884,1.3737311531890828
13,0.26559266355603245,0.9004,0.8901,1.3724531589776738
14,0.2578446263795161,0.90528,0.8894,1.3642738747308618
15,0.2492910692577853,0.90616,0.8924,1.3696205848965803
16,0.24152760400586878,0.90998,0.8813,1.365023105777835
17,0.23528034179030782,0.91156,0.8904,1.3688390045458956
18,0.22535548879362433,0.91638,0.8902,1.358421507664263
19,0.21991072024416436,0.91886,0.8883,1.3596179159976036
20,0.21205109344018847,0.92032,0.8794,1.3747517759614776
21,0.20783486203445345,0.92142,0.8918,1.3761572329712852
22,0.2039755624016304,0.9242,0.8922,1.389717214008303
23,0.19804907068038535,0.92532,0.8914,1.388586467166446
24,0.19290332332291565,0.92794,0.8926,1.403662648096687
25,0.1897948161434487,0.92836,0.8902,1.4063300386351605
26,0.18460559635839957,0.93046,0.8869,1.4290054826267
27,0.1780539256761141,0.93232,0.8907,1.411571957654794
28,0.17123797261977897,0.93562,0.8918,1.3968344149517766
29,0.17027710833589135,0.93482,0.8818,1.4105160624219502
30,0.16666748824879488,0.9382,0.8941,1.4141251840414455
