epoch,train_loss,train_acc,val_acc,grad_norm_epoch_avg
1,1.9521860492503857,0.50314,0.7764,0.5981258289378429
2,0.48678446884083626,0.86734,0.8957,1.2082963794393669
3,0.29121199477930815,0.91586,0.9291,1.1839368155163947
4,0.20287920309283086,0.94122,0.9465,1.0581899269116621
5,0.14339447815847747,0.95838,0.9552,0.9555542890537743
6,0.10661505106503091,0.96834,0.9616,0.9105934443502252
7,0.08333974308870218,0.97514,0.9627,0.8493896656311404
8,0.06787536214486889,0.98016,0.9688,0.8154083895950166
9,0.05633381567061748,0.98328,0.9702,0.7768110305541606
10,0.04585210610564579,0.98664,0.9727,0.7254468165659148
11,0.04016003002325678,0.98802,0.9733,0.7104032023539196
12,0.03298697112370199,0.99054,0.9736,0.6522054333495733
13,0.026999011882604635,0.99254,0.9744,0.592724746250036
14,0.021341386276235937,0.99472,0.9733,0.5239695033712344
15,0.018315362170963283,0.99546,0.9724,0.5008936920662184
16,0.014245750210822567,0.99692,0.9746,0.4158455216769115
17,0.012900436252584536,0.99708,0.9741,0.4076323977625994
18,0.00971795056111869,0.99826,0.9746,0.328909251809791
19,0.00834611314948073,0.99848,0.9763,0.31361944255560725
20,0.006222502679041232,0.99932,0.9769,0.24040884933003945
21,0.005090452690944945,0.99952,0.9768,0.2072927718243513
22,0.0040392031593312555,0.99968,0.9767,0.17146581626507681
23,0.0033417260397852057,0.9998,0.978,0.14731765251225976
24,0.002801123595483306,0.99986,0.9761,0.12549453279891273
25,0.002465270749876126,0.99988,0.9761,0.11418453965144477
26,0.0020542964944035374,0.99996,0.9763,0.09503191576981376
27,0.0019032002771203287,0.9999,0.9774,0.09058983591413555
28,0.0016279058452063511,1.0,0.9771,0.0771534087005267
29,0.0014659163107004468,1.0,0.9767,0.06921146261713783
30,0.0013494898272847073,1.0,0.9772,0.06456958630973478
