epoch,train_loss,train_acc,val_acc,grad_norm_epoch_avg
1,1.319658168022285,0.66198,0.8592,0.8621127527973214
2,0.3745585307574181,0.8931,0.905,1.2319991800046983
3,0.2684808286368999,0.92246,0.9348,1.154001160525796
4,0.19607117689688644,0.94344,0.9458,1.055455775771869
5,0.14437436375795576,0.95824,0.9539,0.9717976288602272
6,0.10761297658285902,0.96792,0.9621,0.923128351413107
7,0.08400841029432347,0.97492,0.9631,0.8592223545260882
8,0.06852932224143059,0.97978,0.9681,0.8272380835102258
9,0.05689665304718401,0.98286,0.9687,0.7849289323850324
10,0.0466217506034395,0.98612,0.9727,0.7335491669708611
11,0.040440280321965234,0.98792,0.9742,0.7145334349664814
12,0.033096527864384204,0.9908,0.9746,0.6513222290592423
13,0.027179380580622112,0.99258,0.9753,0.5964376221213593
14,0.02146166173548883,0.9945,0.9742,0.5255039137597804
15,0.018702227253001778,0.99516,0.9724,0.5080249153617395
16,0.014343638269169985,0.99692,0.9743,0.4181247238694349
17,0.01297167238280358,0.997,0.975,0.40974330515874935
18,0.00975367697798397,0.99828,0.9734,0.3340541045502605
19,0.0085226492475807,0.99856,0.9756,0.3202749508472896
20,0.006201984408117123,0.99914,0.9764,0.23959675118999343
21,0.005434856448090895,0.99924,0.9766,0.22667333178399057
22,0.004055555533959984,0.99964,0.9768,0.17368228195126162
23,0.0033251148010248286,0.99982,0.9775,0.14665669131311357
24,0.00284020518962591,0.99984,0.9758,0.12799521324083024
25,0.0024063067643012516,0.99994,0.9767,0.11036145695135924
26,0.002011863011567582,0.99998,0.976,0.09249518714389103
27,0.001823010112480064,0.99996,0.977,0.08524911601692685
28,0.0016098003698457235,1.0,0.9767,0.07614665727747344
29,0.0014497294382880266,1.0,0.9767,0.06825250774150832
30,0.0013395777186629308,0.99998,0.9769,0.06406826451908855
