epoch,train_loss,train_acc,val_acc,grad_norm_epoch_avg
1,0.5840402345847139,0.83186,0.9226,1.1434717728270296
2,0.2087640019843493,0.93846,0.9457,1.0241455013821428
3,0.14225276702981624,0.9582,0.9591,0.9303461997746295
4,0.10553133968606858,0.9696,0.9642,0.8704904561478366
5,0.08292124499602581,0.97604,0.9681,0.8168968786311576
6,0.06749127046002643,0.9797,0.9677,0.8021442502712633
7,0.05514139657967564,0.9842,0.9663,0.7394798636918892
8,0.04633736435223914,0.9864,0.9707,0.7258903389302953
9,0.0392828629750525,0.98822,0.9705,0.6860746515563315
10,0.03196338971209167,0.99118,0.9746,0.6290017920618896
11,0.027601611424077306,0.99248,0.9733,0.595931570306759
12,0.02274407898640091,0.9942,0.9735,0.5466887840258433
13,0.018389790451994924,0.99532,0.9758,0.4893768959959893
14,0.014430566400977606,0.99692,0.9749,0.4197854904031688
15,0.012461148110641728,0.99734,0.9743,0.3950462550462824
16,0.00972153066640066,0.99812,0.975,0.3263243173993416
17,0.008914181626463772,0.99844,0.9758,0.3180787379059328
18,0.006478280345674085,0.99922,0.9748,0.24535106449631272
19,0.0051526450647322265,0.99934,0.976,0.2122110595659054
20,0.004093206977448486,0.9997,0.9776,0.1724169020739926
21,0.0033946846109886995,0.99982,0.9767,0.15184782179024922
22,0.002769955099769332,0.9999,0.9764,0.1246276484673644
23,0.002323902175554683,0.99994,0.9767,0.10461624267840387
24,0.002084419851356884,0.99994,0.977,0.09529983883461528
25,0.0018606274730012017,0.99996,0.9772,0.08573939119281894
26,0.001643084545682013,1.0,0.9772,0.07641301940441857
27,0.001503505609769751,0.99998,0.9779,0.07049016471127717
28,0.0013539320854593696,1.0,0.9775,0.06400768918515894
29,0.001258698952523262,1.0,0.9766,0.05966244520842346
30,0.0011757219000613419,1.0,0.9777,0.05641138722070935
